FID,SRC_AGENCY,FIRE_ID,YEAR,MONTH,DAY,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
164917,AB,DF1-106-90,1990,9,28,26,H,Surface, 
164918,AB,DF1-109-90,1990,9,28,35,H,Surface, 
164919,AB,DP1-005-90,1990,5,24,0.2,H,Surface, 
164920,AB,DP1-017-90,1990,7,31,0.1,N,Surface, 
164921,AB,DP1-021-90,1990,8,6,0.1,N,Surface, 
164922,AB,DP1-027-90,1990,8,12,0.1,N,Ground, 
164923,AB,DP1-030-90,1990,8,15,0.1,N,Surface, 
164924,AB,DS5-001-90,1990,4,16,0.3,H,Ground, 
164925,AB,DS5-003-90,1990,5,28,0.1,H,Surface, 
164926,AB,DS5-004-90,1990,5,31,2,N,Crown, 
164927,AB,DS5-005-90,1990,6,7,0.1,N,Surface, 
164928,AB,DS5-006-90,1990,6,7,0.1,N,Ground, 
164929,AB,DS5-008-90,1990,6,23,0.1,N,Surface, 
164930,AB,DS5-009-90,1990,7,7,0.1,H,Surface, 
164931,AB,DS5-012-90,1990,7,12,0.1,N,Surface, 
164932,AB,DS5-015-90,1990,7,13,0.1,H,Surface, 
164933,AB,DS5-018-90,1990,7,12,2.5,N,Surface, 
164934,AB,DS5-021-90,1990,7,23,3.5,N,Crown, 
164935,AB,DS5-022-90,1990,7,26,0.1,H,Surface, 
164936,AB,DS5-026-90,1990,7,26,2,N,Surface, 
164937,AB,DS5-027-90,1990,7,26,0.1,N,Surface, 
164938,AB,DS5-029-90,1990,7,29,12,N,Crown, 
164939,AB,DS5-030-90,1990,7,26,0.3,N,Surface, 
164940,AB,DS5-033-90,1990,7,31,0.1,N,Surface, 
164941,AB,DS5-037-90,1990,7,31,0.4,N,Surface, 
164942,AB,DS5-038-90,1990,7,31,0.2,N,Surface, 
164943,AB,DS5-039-90,1990,7,31,0.1,N,Surface, 
164944,AB,DS5-042-90,1990,7,31,0.1,N,Surface, 
164945,AB,DS5-043-90,1990,8,3,0.4,N,Surface, 
164946,AB,DS5-045-90,1990,8,3,0.1,H,Ground, 
164947,AB,DS5-046-90,1990,7,31,0.2,N,Surface, 
164948,AB,DS5-047-90,1990,8,3,0.5,N,Crown, 
164949,AB,DS5-048-90,1990,8,6,1.2,N,Surface, 
164950,AB,DS5-049-90,1990,8,10,0.1,U,Surface, 
164951,AB,DS5-050-90,1990,8,12,0.1,N,Surface, 
164952,AB,DS5-054-90,1990,8,3,2.5,N,Surface, 
164953,AB,DS5-055-90,1990,7,26,0.3,N,Ground, 
164954,AB,DS5-058-90,1990,9,25,0.1,H,Surface, 
164955,AB,DS5-060-90,1990,9,28,0.1,H,Surface, 
164956,AB,DS5-061-90,1990,8,21,0.8,N,Ground, 
164957,AB,DS5-062-90,1990,10,13,0.1,H,Ground, 
164958,AB,DA2-005-91,1991,6,7,0.5,N,Surface, 
164959,AB,DA2-009-91,1991,7,11,0.6,N,Surface, 
164960,AB,DA2-011-91,1991,8,5,0.2,N,Surface, 
164961,AB,DF1-008-91,1991,5,14,1,N,Ground, 
164962,AB,DF1-011-91,1991,6,28,1,N,Crown, 
164963,AB,DF1-012-91,1991,6,28,0.2,N,Surface, 
164964,AB,DF1-014-91,1991,6,30,0.5,N,Surface, 
164965,AB,DF1-017-91,1991,6,30,0.5,N,Crown, 
164966,AB,DF1-018-91,1991,7,1,0.5,N,Surface, 
164967,AB,DF1-020-91,1991,8,5,0.1,N,Surface, 
164968,AB,DF1-021-91,1991,8,5,0.1,N,Surface, 
164969,AB,DF1-022-91,1991,8,5,0.4,N,Ground, 
164970,AB,DF1-023-91,1991,8,5,0.1,N,Ground, 
164971,AB,DF1-024-91,1991,8,5,0.1,N,Ground, 
164972,AB,DF1-031-91,1991,9,24,1,H,Ground, 
164973,AB,DF1-035-91,1991,10,4,2,H,Ground, 
164974,AB,DP1-001-91,1991,3,29,0.2,H,Ground, 
164975,AB,DP1-004-91,1991,5,3,132,H,Surface, 
164976,AB,DP1-005-91,1991,5,3,0.1,H,Surface, 
164977,AB,DP1-011-91,1991,5,24,0.2,H,Ground, 
164978,AB,DP1-013-91,1991,5,29,0.2,H,Surface, 
164979,AB,DP2-016-87,1987,7,24,0.1,N,Surface, 
164980,AB,DP3-013-87,1987,7,25,1,N,Surface, 
164981,AB,DP2-009-89,1989,6,20,1.5,N,Surface, 
164982,AB,DP2-011-89,1989,7,6,0.2,N,Surface, 
164983,AB,DP3-010-89,1989,6,20,0.2,N,Surface, 
164984,AB,DF3-049-90,1990,8,12,0.1,N,Ground, 
164985,AB,DP2-001-90,1990,7,7,6,N,Crown, 
164986,AB,DP2-002-90,1990,7,7,0.2,N,Surface, 
164987,AB,DP3-002-90,1990,6,15,0.5,N,Surface, 
164988,AB,DP3-003-90,1990,6,15,0.5,N,Surface, 
164989,AB,DP3-010-90,1990,7,15,0.8,N,Surface, 
164990,AB,DP3-014-90,1990,7,22,12.5,N,Crown, 
164991,AB,DP3-015-90,1990,7,22,0.2,N,Surface, 
164992,AB,DP3-026-90,1990,8,12,1,N,Surface, 
164993,AB,DP3-027-90,1990,8,12,2,N,Surface, 
164994,AB,DP3-036-90,1990,9,23,496,U,Surface, 
164995,AB,DF3-020-91,1991,6,28,0.3,N,Surface, 
164996,AB,DP2-006-91,1991,7,3,1,N,Surface, 
164997,AB,DP3-003-91,1991,4,26,0.1,H,Ground, 
164998,AB,DP3-008-91,1991,5,29,0.1,N,Crown, 
164999,AB,DP3-009-91,1991,5,29,0.1,N,Crown, 
