FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
1712,BC,50.5981,-126.0416,2023,8,29,2023-08-29,53.2,N,Fire,MON
1713,BC,59.325,-120.1938,2023,5,8,2023-05-08,0.009,N,Fire,FUL
1714,BC,50.5343,-116.2428,2023,7,23,2023-07-23,3918.5,N,Fire,FUL
1715,BC,49.6068,-119.948899999999,2023,7,21,2023-07-21,7.4,N,Fire,FUL
1716,BC,53.9523,-124.5199,2023,5,15,2023-05-15,142.68,N,Fire,FUL
1717,BC,50.8046,-117.3171,2023,7,30,2023-07-30,890.0,N,Fire,MOD
1718,BC,49.2094999999999,-116.9807,2023,8,5,2023-08-05,0.02,N,Fire,MOD
1719,BC,57.2411,-120.8746,2023,6,18,2023-06-18,0.2,N,Fire,FUL
1720,BC,59.1415999999999,-120.541799999999,2023,8,3,2023-08-03,0.0,N,Fire,MOD
1721,BC,54.176,-125.4957,2023,8,6,2023-08-06,0.02,N,Fire,FUL
1722,BC,55.6614999999999,-123.897499999999,2023,6,6,2023-06-06,100.0,N,Fire,FUL
1723,BC,59.4014999999999,-123.217699999999,2023,8,7,2023-08-07,0.0,N,Fire,FUL
1724,BC,54.1636,-121.275499999999,2023,7,24,2023-07-24,0.009,N,Fire,FUL
1725,BC,49.5199,-120.517,2023,7,7,2023-07-07,0.1,N,Fire,FUL
1726,BC,52.8380999999999,-127.0322,2023,7,6,2023-07-06,0.01,N,Fire,FUL
1727,BC,55.1544999999999,-122.9051,2023,7,16,2023-07-16,0.66,N,Fire,FUL
1728,BC,49.3740999999999,-122.4542,2023,9,29,2023-09-29,0.002,N,Fire,MOD
1729,BC,54.1858999999999,-124.9333,2023,7,11,2023-07-11,10.0,N,Fire,MON
1730,BC,49.0656,-115.621,2023,7,12,2023-07-12,2.1,N,Fire,FUL
1731,BC,49.4675999999999,-117.764,2023,8,19,2023-08-19,99.0,N,Fire,MOD
1732,BC,50.3432999999999,-117.67,2023,6,30,2023-06-30,0.6,N,Fire,FUL
1733,BC,54.1248999999999,-123.303299999999,2023,6,21,2023-06-21,0.03,N,Fire,FUL
1734,BC,49.6529,-125.5717,2023,8,6,2023-08-06,0.009,N,Fire,FUL
1735,BC,59.4063,-120.3797,2023,7,12,2023-07-12,0.0,N,Fire,MON
1736,BC,53.8851999999999,-124.6027,2023,7,19,2023-07-19,0.009,N,Fire,FUL
1737,BC,53.8417999999999,-121.1733,2023,7,19,2023-07-19,0.1,N,Fire,FUL
1738,BC,50.8342,-116.3509,2023,5,3,2023-05-03,0.009,N,Fire,FUL
1739,BC,54.2646,-126.9276,2023,7,8,2023-07-08,0.94,N,Fire,FUL
1740,BC,50.5373,-122.7366,2023,6,27,2023-06-27,0.009,N,Fire,FUL
1741,BC,53.8115999999999,-128.9529,2023,7,7,2023-07-07,0.009,N,Fire,MON
1742,BC,52.2907999999999,-127.0715,2023,7,7,2023-07-07,5.02,N,Fire,MON
1743,BC,53.9859,-121.3666,2023,7,5,2023-07-05,0.009,N,Fire,FUL
1744,BC,54.6983,-127.1635,2023,7,7,2023-07-07,34.0,N,Fire,FUL
1745,BC,51.0867999999999,-116.8425,2023,8,6,2023-08-06,0.009,N,Fire,FUL
1746,BC,49.7451999999999,-119.514399999999,2023,7,9,2023-07-09,0.01,N,Fire,FUL
1747,BC,52.4643,-120.7355,2023,7,8,2023-07-08,0.2,N,Fire, 
1748,BC,49.822,-120.1728,2023,7,21,2023-07-21,0.4,N,Fire,FUL
1749,BC,55.5435999999999,-123.365799999999,2023,7,12,2023-07-12,0.01,N,Fire,FUL
1750,BC,54.4097999999999,-125.6908,2023,7,9,2023-07-09,1.1,N,Fire,FUL
1751,BC,49.3207999999999,-117.1797,2023,8,13,2023-08-13,0.04,N,Fire,FUL
1752,BC,49.6394,-120.679,2023,7,7,2023-07-07,0.05,N,Fire,FUL
1753,BC,53.8312999999999,-121.8017,2023,7,22,2023-07-22,0.009,N,Fire,FUL
