FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
146554,BC,53.8706999999999,-120.7904,2013,8,5,2013-08-05,100.0,N,Fire, 
146555,BC,54.2993999999999,-121.382,2013,8,11,2013-08-11,0.2,N,Fire, 
146556,BC,54.2060999999999,-121.5505,2013,8,11,2013-08-11,0.009,N,Fire, 
146557,BC,54.3108999999999,-121.4676,2013,8,11,2013-08-11,0.02,N,Fire, 
146558,BC,54.1409999999999,-121.3419,2013,8,12,2013-08-12,0.009,N,Fire, 
146559,BC,54.9788,-122.1821,2013,8,13,2013-08-13,0.009,N,Fire, 
146560,BC,54.7349,-122.2426,2013,8,23,2013-08-23,0.009,N,Fire, 
146561,BC,53.8091,-120.903,2013,9,3,2013-09-03,0.009,N,Fire, 
146562,BC,53.8256999999999,-120.7629,2013,9,3,2013-09-03,0.009,N,Fire, 
146563,BC,53.8603,-120.9982,2013,9,3,2013-09-03,0.009,N,Fire, 
146565,BC,55.5914,-121.587,2014,4,9,2014-04-09,0.4,H,Fire, 
146566,BC,55.5679999999999,-121.3844,2014,4,14,2014-04-14,1.9,H,Fire, 
146567,BC,55.03,-120.7062,2014,7,2,2014-07-02,0.1,N,Fire, 
146568,BC,55.4042,-121.0673,2014,7,2,2014-07-02,4.9,N,Fire, 
146569,BC,54.9007,-120.7561,2014,7,14,2014-07-14,0.2,N,Fire, 
146570,BC,54.9204999999999,-120.3571,2014,7,2,2014-07-02,4.0,N,Fire, 
146571,BC,55.7486,-120.0404,2014,7,1,2014-07-01,0.9,H,Fire, 
146572,BC,54.8385,-120.0017,2014,8,5,2014-08-05,54.0,N,Fire, 
146573,BC,55.4983,-120.983,2014,8,5,2014-08-05,0.009,N,Fire, 
146574,BC,55.6948,-120.712599999999,2014,9,14,2014-09-14,0.009,H,Fire, 
146575,BC,55.7639,-120.6907,2014,7,29,2014-07-29,1.0,H,Fire, 
146576,BC,55.7483,-120.0391,2014,9,20,2014-09-20,0.1,H,Fire, 
146577,BC,55.5354,-120.0678,2013,4,25,2013-04-25,40.0,H,Fire, 
146578,BC,55.5983,-120.2159,2013,5,6,2013-05-06,60.0,H,Fire, 
146579,BC,55.6702999999999,-120.0112,2013,5,9,2013-05-09,20.0,H,Fire, 
146580,BC,55.5771999999999,-121.5899,2013,5,11,2013-05-11,0.15,H,Fire, 
146581,BC,55.4981999999999,-120.5489,2013,5,17,2013-05-17,13.1999999999999,H,Fire, 
146582,BC,54.8671999999999,-120.1503,2013,7,23,2013-07-23,0.8,H,Fire, 
146583,BC,54.7986,-120.315,2013,10,5,2013-10-05,0.009,H,Fire, 
146584,BC,55.2654,-120.8536,2016,6,27,2016-06-27,0.0,H,Fire, 
